,IV,feature
154,0.6028132332346603,greyscale -> red -> silhouette-10
155,0.5511894348168627,greyscale -> red -> silhouette-11
156,0.5190798807845026,greyscale -> red -> silhouette-12
157,0.5190798807845026,greyscale -> red -> silhouette-13
158,0.477866843162891,greyscale -> red -> silhouette-14
159,0.41959987616572814,greyscale -> red -> silhouette-15
160,0.21939969572931783,greyscale -> red -> entropy-0
161,0.30718056716884373,greyscale -> red -> entropy-1
162,0.27792667037271945,greyscale -> red -> number_of_points-0
163,0.289973750435844,greyscale -> red -> number_of_points-1
164,0.17128083804789704,greyscale -> red -> heat-0
165,0.5650926995228958,greyscale -> red -> heat-1
166,0.4170342230776137,greyscale -> red -> heat-2
167,0.2557513730813912,greyscale -> red -> heat-3
168,0.11681013174672505,greyscale -> red -> heat-4
169,0.4722777833377829,greyscale -> red -> heat-5
170,0.40827431606449416,greyscale -> red -> heat-6
171,0.3332588577574854,greyscale -> red -> heat-7
172,0.14191047208186483,greyscale -> red -> heat-8
173,0.6278081501683183,greyscale -> red -> heat-9
174,0.6260771365141743,greyscale -> red -> heat-10
175,0.6211813125371182,greyscale -> red -> heat-11
176,0.11175147597733413,greyscale -> red -> heat-12
177,0.5093492979910487,greyscale -> red -> heat-13
178,0.5038852094580626,greyscale -> red -> heat-14
179,0.4913696794792366,greyscale -> red -> heat-15
180,0.10580652030594387,greyscale -> red -> heat-16
181,0.5939732886415943,greyscale -> red -> heat-17
182,0.5940105239041271,greyscale -> red -> heat-18
183,0.5945351247341936,greyscale -> red -> heat-19
184,0.0988271808947808,greyscale -> red -> heat-20
185,0.4746074854724502,greyscale -> red -> heat-21
186,0.4747611919989254,greyscale -> red -> heat-22
187,0.4748876880302812,greyscale -> red -> heat-23
188,0.38410229671502,greyscale -> red -> persistence_image-0
189,0.3838467000612019,greyscale -> red -> persistence_image-1
190,0.19765503599828846,greyscale -> red -> persistence_image-2
191,0.19124026631623825,greyscale -> red -> persistence_image-3
192,0.34612130308473893,greyscale -> red -> persistence_image-4
193,0.3464819202093759,greyscale -> red -> persistence_image-5
194,0.23713958922479902,greyscale -> red -> persistence_image-6
195,0.22612609896991606,greyscale -> red -> persistence_image-7
196,0.36357650603450536,greyscale -> red -> persistence_image-8
197,0.36354125770310936,greyscale -> red -> persistence_image-9
198,0.32995326033278016,greyscale -> red -> persistence_image-10
199,0.2678255430433375,greyscale -> red -> persistence_image-11
200,0.33403453214489154,greyscale -> red -> persistence_image-12
201,0.3334353100615794,greyscale -> red -> persistence_image-13
202,0.32207206201489075,greyscale -> red -> persistence_image-14
203,0.28469467907972,greyscale -> red -> persistence_image-15
204,0.2872717568951512,greyscale -> red -> persistence_image-16
205,0.2872717568951512,greyscale -> red -> persistence_image-17
206,0.2868016280839213,greyscale -> red -> persistence_image-18
207,0.2771212044314239,greyscale -> red -> persistence_image-19
208,0.2975540777957194,greyscale -> red -> persistence_image-20
209,0.2975540777957194,greyscale -> red -> persistence_image-21
210,0.2975445037024597,greyscale -> red -> persistence_image-22
211,0.2912754505973146,greyscale -> red -> persistence_image-23
212,0.5713220264355946,greyscale -> red -> lifetime-0
213,0.563665406613564,greyscale -> red -> lifetime-1
214,0.5077623353061981,greyscale -> red -> lifetime-2
215,0.510017433470727,greyscale -> red -> lifetime-3
216,0.6163073883540902,greyscale -> red -> lifetime-4
217,0.5683053890322317,greyscale -> red -> lifetime-5
218,0.5995766774989709,greyscale -> red -> lifetime-6
219,0.659854725672102,greyscale -> red -> lifetime-7
220,0.6400268552511642,greyscale -> red -> lifetime-8
221,0.4655703411321265,greyscale -> red -> lifetime-9
222,0.5290251949202893,greyscale -> red -> lifetime-10
223,0.5402097958437776,greyscale -> red -> lifetime-11
224,0.5670407342977754,greyscale -> green -> betti-0
225,0.5664686814168396,greyscale -> green -> betti-1
226,0.489781009078009,greyscale -> green -> betti-2
227,0.2916739887620006,greyscale -> green -> betti-3
228,0.4801637799217379,greyscale -> green -> betti-4
229,0.4801637799217379,greyscale -> green -> betti-5
230,0.47664989353452336,greyscale -> green -> betti-6
231,0.30593577702816993,greyscale -> green -> betti-7
232,0.5964461342384135,greyscale -> green -> landscape-0
233,0.5962842793853413,greyscale -> green -> landscape-1
234,0.5959862592138706,greyscale -> green -> landscape-2
235,0.5850447922095886,greyscale -> green -> landscape-3
236,0.5405799101370192,greyscale -> green -> landscape-4
237,0.5401725419854024,greyscale -> green -> landscape-5
238,0.5429872591849018,greyscale -> green -> landscape-6
239,0.5364524872615449,greyscale -> green -> landscape-7
240,0.5754661924323708,greyscale -> green -> landscape-8
241,0.5753839111404118,greyscale -> green -> landscape-9
242,0.5784411999684301,greyscale -> green -> landscape-10
243,0.5493713961316087,greyscale -> green -> landscape-11
244,0.5113588483206505,greyscale -> green -> landscape-12
245,0.5111033006918602,greyscale -> green -> landscape-13
246,0.5014568108406559,greyscale -> green -> landscape-14
247,0.4875093338016538,greyscale -> green -> landscape-15
248,0.5718150526711087,greyscale -> green -> landscape-16
249,0.5718490666618534,greyscale -> green -> landscape-17
250,0.5593669541341223,greyscale -> green -> landscape-18
251,0.5300109070678767,greyscale -> green -> landscape-19
252,0.5600429358865936,greyscale -> green -> landscape-20
253,0.5596961896825206,greyscale -> green -> landscape-21
254,0.5694728097665744,greyscale -> green -> landscape-22
255,0.5353398229622598,greyscale -> green -> landscape-23
256,0.5772056515881282,greyscale -> green -> silhouette-0
257,0.5772056515881282,greyscale -> green -> silhouette-1
258,0.5744376000279705,greyscale -> green -> silhouette-2
259,0.5262161531705732,greyscale -> green -> silhouette-3
260,0.48510647300258763,greyscale -> green -> silhouette-4
261,0.48510647300258763,greyscale -> green -> silhouette-5
262,0.4337369399686618,greyscale -> green -> silhouette-6
263,0.3516405922368951,greyscale -> green -> silhouette-7
264,0.5803400152396674,greyscale -> green -> silhouette-8
265,0.5803400152396674,greyscale -> green -> silhouette-9
266,0.5636553142400487,greyscale -> green -> silhouette-10
267,0.5084002949675074,greyscale -> green -> silhouette-11
268,0.48019137004306056,greyscale -> green -> silhouette-12
269,0.48019137004306056,greyscale -> green -> silhouette-13
270,0.4652795789589848,greyscale -> green -> silhouette-14
271,0.3546987425283231,greyscale -> green -> silhouette-15
272,0.35523046368037964,greyscale -> green -> entropy-0
273,0.30659150368707017,greyscale -> green -> entropy-1
274,0.3622615331691388,greyscale -> green -> number_of_points-0
275,0.3100306693135388,greyscale -> green -> number_of_points-1
276,0.19366050806795107,greyscale -> green -> heat-0
277,0.5529917137826985,greyscale -> green -> heat-1
278,0.5100733385319141,greyscale -> green -> heat-2
279,0.35572821062026533,greyscale -> green -> heat-3
280,0.1367499586204868,greyscale -> green -> heat-4
281,0.4973248304630633,greyscale -> green -> heat-5
282,0.43941060799687104,greyscale -> green -> heat-6
283,0.3555093419340271,greyscale -> green -> heat-7
284,0.13827598443688516,greyscale -> green -> heat-8
285,0.5824441099910944,greyscale -> green -> heat-9
286,0.5843656109276189,greyscale -> green -> heat-10
287,0.5747434520447601,greyscale -> green -> heat-11
288,0.1123301801002154,greyscale -> green -> heat-12
289,0.531935703145559,greyscale -> green -> heat-13
290,0.5248679799053284,greyscale -> green -> heat-14
291,0.5016410815545866,greyscale -> green -> heat-15
292,0.0711861838622621,greyscale -> green -> heat-16
293,0.563397595192785,greyscale -> green -> heat-17
294,0.5635600954086237,greyscale -> green -> heat-18
295,0.5634747826702079,greyscale -> green -> heat-19
296,0.09429756506696133,greyscale -> green -> heat-20
297,0.48255704083161305,greyscale -> green -> heat-21
298,0.4841906158886554,greyscale -> green -> heat-22
299,0.482413309211484,greyscale -> green -> heat-23
300,0.42868775861849845,greyscale -> green -> persistence_image-0
301,0.42888386589769556,greyscale -> green -> persistence_image-1
302,0.3740115420954807,greyscale -> green -> persistence_image-2
303,0.3701694049006061,greyscale -> green -> persistence_image-3
304,0.37081904337766297,greyscale -> green -> persistence_image-4
305,0.3710783481186435,greyscale -> green -> persistence_image-5
306,0.287017570021655,greyscale -> green -> persistence_image-6
307,0.26365073424343266,greyscale -> green -> persistence_image-7
308,0.39506425508326587,greyscale -> green -> persistence_image-8
309,0.3950520803394124,greyscale -> green -> persistence_image-9
310,0.38771603872974547,greyscale -> green -> persistence_image-10
